method,Latency_ms_per_vector_mean,Throughput_vectors_per_sec_mean
no_defense,8.479974260835936e-06,118594426.72225897
krum,0.09075644595379179,11033.03296415085
fltrust,0.0012641721828417346,791592.8100913158
isolation_forest,0.8194576946058959,1220.8983853337636
lof,0.05538461814549836,18094.271729835746
strip,0.36615087876491476,2732.709146470077
viper,20.845981265460566,48.60277034685657
