dataset,method,ASR_mean,ASR_std,F1_mean,F1_std,FPR_mean,FPR_std,Precision_mean,Recall_mean,Latency_ms_per_vector_mean
scifact,no_defense,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25695072611173e-06
scifact,krum,0.96,0.0,0.2641509433962264,0.0,0.084,0.0,0.25,0.28,0.09554523269109653
scifact,fltrust,0.9333333333333332,0.03771236166328251,0.31190309806662003,0.06753174476740845,0.08,0.005656854249492386,0.29310344827586204,0.3333333333333333,0.0011537478756949756
scifact,isolation_forest,0.9866666666666667,0.018856180831641284,0.06666666666666667,0.03771236166328253,0.09333333333333334,0.0037712361663282566,0.06666666666666667,0.06666666666666667,0.5939056279109508
scifact,lof,1.0,0.0,0.20000000000000004,2.7755575615628914e-17,0.08,0.0,0.20000000000000004,0.20000000000000004,0.045486430312986624
scifact,strip,0.9199999999999999,0.032659863237109024,0.08493696084936962,0.0149792617472129,0.412,0.011775681155103787,0.05226412995104584,0.22666666666666668,0.29493270173781744
scifact,viper,0.12,0.0,0.5978835978835979,0.018706528602818757,0.10666666666666667,0.009428090415820628,0.4530823786142935,0.88,11.339287907943467
nfcorpus,no_defense,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3393863258939796e-06
nfcorpus,krum,0.96,0.0,0.4150943396226416,5.551115123125783e-17,0.068,0.0,0.39285714285714285,0.44,0.07262662906820576
nfcorpus,fltrust,0.96,0.0,0.4150943396226416,5.551115123125783e-17,0.068,0.0,0.39285714285714285,0.44,0.001107470245298111
nfcorpus,isolation_forest,0.96,0.0,0.36000000000000004,0.03265986323710905,0.064,0.0032659863237109073,0.36000000000000004,0.36000000000000004,0.6417819261409794
nfcorpus,lof,1.0,0.0,0.32,0.0,0.068,0.0,0.32,0.32,0.047309435127923884
nfcorpus,strip,0.8266666666666667,0.08219218670625304,0.14203230821935858,0.019085934255039627,0.4226666666666667,0.004988876515698593,0.08634931716419518,0.39999999999999997,0.2960031842248458
nfcorpus,viper,0.9733333333333333,0.018856180831641284,0.36101564737431335,0.03511711874062091,0.09333333333333332,0.007542472332656507,0.31352035147101565,0.4266666666666667,9.385645614626506
