num_clients,num_malicious,ASR_mean,F1_mean,Latency_ms_per_vector_mean
5,1,0.06666666666666667,0.6006789331051205,8.102947277595486
10,1,0.12,0.5978835978835979,12.913678039965982
20,2,0.12,0.6114257114257114,13.19443216356872
50,5,0.12,0.6170098214859935,23.394762220524367
