config,centroid,trap,core,ASR_mean,FPR_mean,F1_mean,Recall@5_mean
centroid_only,True,False,False,0.96,0.06,0.2978723404255319,0.8000000000000002
trap_only,False,True,False,0.9333333333333332,0.05333333333333334,0.39184397163120566,0.9333333333333332
core_only,False,False,True,0.16,0.036,0.7647895130003133,0.888888888888889
centroid_trap,True,True,False,0.8133333333333334,0.07066666666666667,0.419753086419753,0.8000000000000002
centroid_core,True,False,True,0.12,0.09600000000000002,0.6202823941954376,0.7555555555555555
trap_core,False,True,True,0.12,0.08933333333333333,0.6355049891557524,0.888888888888889
full_viper,True,True,True,0.12,0.10666666666666667,0.5978835978835979,0.7555555555555555
