dataset,method,Recall@1_mean,Recall@5_mean,Recall@10_mean,MRR@10_mean,NDCG@10_mean
scifact,no_defense,0.0,0.8000000000000002,0.9333333333333332,0.28777777777777774,0.44472926157464526
scifact,viper,0.48888888888888893,0.7555555555555555,0.7555555555555555,0.6222222222222222,0.657136823174611
nfcorpus,no_defense,0.0,0.29411764705882354,0.38235294117647056,0.13197945845004672,0.19264278388244604
nfcorpus,viper,0.0,0.3137254901960784,0.411764705882353,0.1435340802987862,0.20846409784963513
